variant,trial_type,mean_accuracy,std_accuracy
model,action_question,0.19999999999999998,0.1632993161855452
model,attribution_question,0.13333333333333333,0.1632993161855452
model,emotion_reasoning_question,0.39999999999999997,0.18952141659173713
model,false_belief_question,0.7230769230769231,0.0784464540552736
model,reality_check_question,0.5,0.10954451150103321
model,reference_question,0.2,0.4
none,action_question,0.13333333333333333,0.1632993161855452
none,attribution_question,0.13333333333333333,0.1632993161855452
none,emotion_reasoning_question,0.39999999999999997,0.16659862556700858
none,false_belief_question,0.7538461538461538,0.057563959796522186
none,reality_check_question,0.48,0.17204650534085253
none,reference_question,0.2,0.4
oracle,action_question,0.26666666666666666,0.2494438257849294
oracle,attribution_question,0.13333333333333333,0.1632993161855452
oracle,emotion_reasoning_question,0.3714285714285714,0.11428571428571428
oracle,false_belief_question,0.7076923076923077,0.057563959796522186
oracle,reality_check_question,0.48,0.0748331477354788
oracle,reference_question,0.2,0.4
